Contrast	Caudate_Putamen	A	B	t	df	p	p_fdr	stat_str	stat_str_fdr
Caudate_Putamen	-	Caudate	Putamen	-17.55	75.0	p < .001	p = nan	t(75) = -17.55, p < .001	t(75) = -17.55, q = nan
Cortex_ROI	-	ACC	FMC	6.20	75.0	p < .001	p < .001	t(75) = 6.20, p < .001	t(75) = 6.20, q < .001
Cortex_ROI	-	ACC	IFGo	-10.22	75.0	p < .001	p < .001	t(75) = -10.22, p < .001	t(75) = -10.22, q < .001
Cortex_ROI	-	ACC	IFGt	-9.51	75.0	p < .001	p < .001	t(75) = -9.51, p < .001	t(75) = -9.51, q < .001
Cortex_ROI	-	ACC	OFC	-23.77	75.0	p < .001	p < .001	t(75) = -23.77, p < .001	t(75) = -23.77, q < .001
Cortex_ROI	-	FMC	IFGo	-11.69	75.0	p < .001	p < .001	t(75) = -11.69, p < .001	t(75) = -11.69, q < .001
Cortex_ROI	-	FMC	IFGt	-11.34	75.0	p < .001	p < .001	t(75) = -11.34, p < .001	t(75) = -11.34, q < .001
Cortex_ROI	-	FMC	OFC	-24.80	75.0	p < .001	p < .001	t(75) = -24.80, p < .001	t(75) = -24.80, q < .001
Cortex_ROI	-	IFGo	IFGt	1.85	75.0	p = .068	p = .068	t(75) = 1.85, p = .068	t(75) = 1.85, q = .068
Cortex_ROI	-	IFGo	OFC	-18.16	75.0	p < .001	p < .001	t(75) = -18.16, p < .001	t(75) = -18.16, q < .001
Cortex_ROI	-	IFGt	OFC	-17.20	75.0	p < .001	p < .001	t(75) = -17.20, p < .001	t(75) = -17.20, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	ACC	FMC	12.02	75.0	p < .001	p < .001	t(75) = 12.02, p < .001	t(75) = 12.02, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	ACC	IFGo	-6.78	75.0	p < .001	p < .001	t(75) = -6.78, p < .001	t(75) = -6.78, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	ACC	IFGt	-3.14	75.0	p = .002	p = .003	t(75) = -3.14, p = .002	t(75) = -3.14, q = .003
Caudate_Putamen * Cortex_ROI	Caudate	ACC	OFC	4.15	75.0	p < .001	p < .001	t(75) = 4.15, p < .001	t(75) = 4.15, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	FMC	IFGo	-10.62	75.0	p < .001	p < .001	t(75) = -10.62, p < .001	t(75) = -10.62, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	FMC	IFGt	-7.74	75.0	p < .001	p < .001	t(75) = -7.74, p < .001	t(75) = -7.74, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	FMC	OFC	-7.68	75.0	p < .001	p < .001	t(75) = -7.68, p < .001	t(75) = -7.68, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	IFGo	IFGt	5.37	75.0	p < .001	p < .001	t(75) = 5.37, p < .001	t(75) = 5.37, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	IFGo	OFC	9.33	75.0	p < .001	p < .001	t(75) = 9.33, p < .001	t(75) = 9.33, q < .001
Caudate_Putamen * Cortex_ROI	Caudate	IFGt	OFC	5.71	75.0	p < .001	p < .001	t(75) = 5.71, p < .001	t(75) = 5.71, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	ACC	FMC	-5.81	75.0	p < .001	p < .001	t(75) = -5.81, p < .001	t(75) = -5.81, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	ACC	IFGo	-9.94	75.0	p < .001	p < .001	t(75) = -9.94, p < .001	t(75) = -9.94, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	ACC	IFGt	-14.03	75.0	p < .001	p < .001	t(75) = -14.03, p < .001	t(75) = -14.03, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	ACC	OFC	-25.38	75.0	p < .001	p < .001	t(75) = -25.38, p < .001	t(75) = -25.38, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	FMC	IFGo	-7.52	75.0	p < .001	p < .001	t(75) = -7.52, p < .001	t(75) = -7.52, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	FMC	IFGt	-11.19	75.0	p < .001	p < .001	t(75) = -11.19, p < .001	t(75) = -11.19, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	FMC	OFC	-25.51	75.0	p < .001	p < .001	t(75) = -25.51, p < .001	t(75) = -25.51, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	IFGo	IFGt	-2.81	75.0	p = .006	p = .006	t(75) = -2.81, p = .006	t(75) = -2.81, q = .006
Caudate_Putamen * Cortex_ROI	Putamen	IFGo	OFC	-22.98	75.0	p < .001	p < .001	t(75) = -22.98, p < .001	t(75) = -22.98, q < .001
Caudate_Putamen * Cortex_ROI	Putamen	IFGt	OFC	-20.76	75.0	p < .001	p < .001	t(75) = -20.76, p < .001	t(75) = -20.76, q < .001
